	len(train_dataset)  = 12118359
	len(valid_dataset)  = 252934
	len(train_loader)   = 189349
	len(valid_loadernum_iters)   = 3953
	batch_size  = 64
	iter_accum  = 4
	batch_size*iter_accum  = 256
	loading @ initial_checkpoint = ./latest/resnet/latest.pth
=> loaded checkpoint './latest/resnet/latest.pth' (epoch: 5.961467225059103, iter: 282200.0, best_train_acc: 0.72015625, best_valid_acc: 0.6940684713375797)** start training here! **
	optimizer=<torch.optim.sgd.SGD object at 0x7fa75da4d7b8>
   rate   iter   epoch  | valid_loss/acc | train_loss/acc | batch_loss/acc | total time | avg iter time | i j |
----------------------------------------------------------------------------------------------------------------
0.0000  282.2 k   5.96  | 0.0000  0.6882 | 0.0000  0.6719 | 0.0000  0.0000 |     0 min |  0.00 s | 282200,0 
0.0005  282.2 k   5.96  | 0.0000  0.6882 | 1.2363  0.7150 | 1.1922  0.6719 |     1 min |  1.23 s | 282205,20 
0.0005  282.2 k   5.96  | 0.0000  0.6882 | 1.2807  0.7085 | 1.4447  0.6562 |     1 min |  1.21 s | 282210,40 
0.0005  282.2 k   5.96  | 0.0000  0.6882 | 1.2691  0.7018 | 1.2911  0.7031 |     2 min |  1.20 s | 282215,60 
0.0005  282.2 k   5.96  | 0.0000  0.6882 | 1.2688  0.7060 | 1.3445  0.7031 |     2 min |  1.20 s | 282220,80 
0.0005  282.2 k   5.96  | 0.0000  0.6882 | 1.2660  0.7082 | 0.9605  0.7812 |     3 min |  1.20 s | 282225,100 
0.0005  282.2 k   5.96  | 0.0000  0.6882 | 1.2675  0.7067 | 1.4283  0.7031 |     3 min |  1.20 s | 282230,120 
0.0005  282.2 k   5.96  | 0.0000  0.6882 | 1.2807  0.7071 | 1.6356  0.6250 |     4 min |  1.20 s | 282235,140 
0.0005  282.2 k   5.96  | 0.0000  0.6882 | 1.2783  0.7086 | 1.3625  0.6719 |     4 min |  1.20 s | 282240,160 
0.0005  282.2 k   5.96  | 0.0000  0.6882 | 1.2783  0.7082 | 1.6241  0.6875 |     5 min |  1.20 s | 282245,180 
0.0005  282.2 k   5.96  | 0.0000  0.6882 | 1.2750  0.7084 | 1.0885  0.7188 |     5 min |  1.20 s | 282250,200 
0.0005  282.3 k   5.96  | 0.0000  0.6882 | 1.2720  0.6941 | 1.0404  0.8281 |     6 min |  1.20 s | 282255,220 
0.0005  282.3 k   5.96  | 0.0000  0.6882 | 1.2734  0.7051 | 1.1972  0.6562 |     6 min |  1.20 s | 282260,240 
0.0005  282.3 k   5.96  | 0.0000  0.6882 | 1.2456  0.7100 | 1.3325  0.6406 |     7 min |  1.20 s | 282265,260 
0.0005  282.3 k   5.96  | 0.0000  0.6882 | 1.2177  0.7148 | 0.9576  0.7656 |     7 min |  1.21 s | 282270,280 
0.0005  282.3 k   5.96  | 0.0000  0.6882 | 1.2326  0.7116 | 1.4622  0.7031 |     8 min |  1.21 s | 282275,300 
0.0005  282.3 k   5.96  | 0.0000  0.6882 | 1.2461  0.7107 | 1.2032  0.6875 |     8 min |  1.21 s | 282280,320 
