iter k,epoch,num M,valid_loss,valid_acc,train_loss,train_acc
0,0,0,8.6148,0.4214,3.3726,0.419
1,0.04,0.51,3.3454,0.4214,3.3726,0.419
2,0.08,1.02,2.9347,0.4681,3.0282,0.4606
3,0.13,1.54,2.722,0.4935,2.7755,0.484
4,0.17,2.05,2.5848,0.5112,2.5772,0.5094
5,0.21,2.56,2.512,0.5183,2.566,0.5089
6,0.25,3.07,2.4157,0.532,2.4907,0.5194
7,0.29,3.58,2.3479,0.5457,2.3881,0.533
8,0.33,4.1,2.3217,0.5445,2.3323,0.5456
9,0.38,4.61,2.2607,0.5504,2.283,0.5482
10,0.42,5.12,2.227,0.5541,2.2337,0.5568
11,0.46,5.63,2.1955,0.5649,2.1945,0.5524
12,0.5,6.14,2.1724,0.5673,2.1985,0.565
13,0.54,6.66,2.1287,0.5734,2.1419,0.5649
14,0.58,7.17,2.1122,0.5739,2.1826,0.5568
15,0.63,7.68,2.0827,0.58,2.1538,0.5651
16,0.67,8.19,2.0741,0.5779,2.1492,0.5683
17,0.71,8.7,2.0534,0.5839,2.0819,0.574
18,0.75,9.22,2.0316,0.5838,2.0991,0.577
19,0.79,9.73,2.0156,0.591,2.0511,0.5769
20,0.83,10.24,2.0032,0.5933,2.0411,0.5801
21,0.88,10.75,2.0106,0.5853,1.9923,0.5883
22,0.92,11.26,1.9872,0.5912,2.0562,0.5805
23,0.96,11.78,1.9806,0.5978,2.0134,0.5836
24,1,12.29,1.9518,0.5986,1.9922,0.583
25,1.04,12.8,1.9423,0.6013,1.9268,0.5977
26,1.08,13.31,1.933,0.6067,1.924,0.593
27,1.13,13.82,1.929,0.6024,1.8981,0.6033
28,1.17,14.34,1.9301,0.5992,1.9242,0.5936
29,1.21,14.85,1.9133,0.6087,1.8828,0.6
30,1.25,15.36,1.9121,0.6002,1.9048,0.597
31,1.29,15.87,1.8993,0.6057,1.9332,0.5942
32,1.33,16.38,1.8892,0.6082,1.8833,0.6014
33,1.38,16.9,1.888,0.6097,1.896,0.6023
34,1.42,17.41,1.8826,0.6132,1.8614,0.6034
35,1.46,17.92,1.8625,0.6127,1.8647,0.6077
36,1.5,18.43,1.8644,0.6122,1.8917,0.6006
37,1.54,18.94,1.8462,0.6141,1.8405,0.6042
38,1.58,19.46,1.852,0.6165,1.8535,0.6083
39,1.63,19.97,1.8493,0.6151,1.8698,0.6055
40,1.67,20.48,1.8314,0.6167,1.8962,0.5999
41,1.71,20.99,1.8239,0.6205,1.7896,0.6227
42,1.75,21.5,1.8132,0.6205,1.7864,0.6199
43,1.79,22.02,1.8012,0.6247,1.7945,0.6154
44,1.83,22.53,1.7952,0.618,1.7876,0.6175
45,1.88,23.04,1.7972,0.6208,1.7813,0.6205
46,1.92,23.55,1.7935,0.6247,1.7786,0.6235
47,1.96,24.06,1.797,0.6199,1.7959,0.6123
48,2,24.58,1.7936,0.6224,1.715,0.6285
49,2.04,25.09,1.7819,0.6246,1.7756,0.621
50,2.08,25.6,1.7658,0.6231,1.7725,0.623
51,2.13,26.11,1.7528,0.6314,1.7759,0.6218
52,2.17,26.62,1.7643,0.6298,1.7492,0.6246
53,2.21,27.14,1.7725,0.6199,1.7531,0.6244
54,2.25,27.65,1.7696,0.6244,1.7348,0.626
55,2.29,28.16,1.7528,0.6311,1.7475,0.6267
56,2.33,28.67,1.6976,0.6384,1.7045,0.6313
57,2.38,29.18,1.6895,0.6447,1.6783,0.6315
58,2.42,29.7,1.6796,0.6439,1.6752,0.6418
59,2.46,30.21,1.6851,0.6472,1.6901,0.6318
60,2.5,30.72,1.6797,0.6443,1.6374,0.6391
61,2.54,31.23,1.67,0.6451,1.6466,0.6409
62,2.58,31.74,1.6664,0.6442,1.6574,0.6336
63,2.63,32.26,1.6643,0.6459,1.646,0.6421
64,2.67,32.77,1.6527,0.6441,1.618,0.6446
65,2.71,33.28,1.6499,0.6492,1.6712,0.6313
66,2.75,33.79,1.651,0.6451,1.6405,0.6415
67,2.79,34.3,1.641,0.6491,1.6448,0.6444
68,2.83,34.82,1.6542,0.6485,1.6427,0.6367
69,2.88,35.33,1.6439,0.6474,1.6137,0.6454
70,2.92,35.84,1.6389,0.6524,1.6988,0.6415
71,2.96,36.35,1.6381,0.6492,1.6415,0.6376
72,3,36.86,1.6235,0.6538,1.604,0.6513
73,3.04,37.38,1.635,0.6486,1.6162,0.6457
74,3.08,37.89,1.6282,0.6512,1.6289,0.647
75,3.13,38.4,1.6202,0.6568,1.6236,0.6434
76,3.17,38.91,1.6149,0.6552,1.5978,0.6479
77,3.21,39.42,1.6263,0.6516,1.5891,0.6487
78,3.25,39.94,1.6094,0.6561,1.6027,0.649
79,3.29,40.45,1.6183,0.6517,1.6156,0.6455
80,3.33,40.96,1.6179,0.6543,1.5868,0.6505
81,3.38,41.47,1.6037,0.6578,1.5735,0.6493
82,3.42,41.98,1.6158,0.6559,1.5598,0.6556
83,3.46,42.5,1.6055,0.6562,1.5633,0.6599
84,3.5,43.01,1.6051,0.6566,1.5681,0.6538
85,3.54,43.52,1.6066,0.6559,1.5365,0.6627
86,3.58,44.03,1.6053,0.6569,1.5552,0.6587
87,3.63,44.54,1.6158,0.6581,1.5585,0.6575
88,3.67,45.06,1.6052,0.6576,1.5391,0.6586
89,3.71,45.57,1.5903,0.659,1.5447,0.6597
90,3.75,46.08,1.6028,0.6587,1.5803,0.6512
91,3.79,46.59,1.6018,0.6584,1.5508,0.6525
92,3.83,47.1,1.597,0.6616,1.5492,0.6561
93,3.88,47.62,1.5906,0.6563,1.5599,0.6517
94,3.92,48.13,1.5827,0.6602,1.5677,0.6479
95,3.96,48.64,1.591,0.6584,1.5293,0.6583
96,4,49.15,1.5958,0.657,1.5258,0.6645
97,4.04,49.66,1.5925,0.6581,1.545,0.6591
98,4.08,50.18,1.5664,0.6616,1.5662,0.6568
99,4.13,50.69,1.5787,0.6614,1.5363,0.6658
100,4.17,51.2,1.5804,0.6606,1.5004,0.6677
101,4.21,51.71,1.5711,0.6626,1.5107,0.6657
102,4.25,52.22,1.5737,0.6606,1.5526,0.6623
103,4.29,52.74,1.5777,0.6611,1.5152,0.6607
104,4.33,53.25,1.5664,0.6614,1.5083,0.6585
105,4.38,53.76,1.5662,0.6634,1.4849,0.6671
106,4.42,54.27,1.5822,0.6618,1.5181,0.6591
107,4.46,54.78,1.5744,0.6639,1.5016,0.6676
108,4.5,55.3,1.578,0.6611,1.4988,0.6665
109,4.54,55.81,1.5716,0.6648,1.489,0.6638
110,4.58,56.32,1.5741,0.66,1.4971,0.6605
111,4.63,56.83,1.5733,0.6637,1.5336,0.6577
112,4.67,57.34,1.5713,0.6635,1.5086,0.6617
113,4.71,57.86,1.5711,0.6622,1.5101,0.6529
114,4.75,58.37,1.5604,0.6636,1.5053,0.6616
115,4.79,58.88,1.5653,0.661,1.5155,0.6573
116,4.84,59.39,1.5692,0.6611,1.511,0.6672
117,4.88,59.9,1.5548,0.6666,1.4997,0.665
118,4.92,60.42,1.55,0.6624,1.4975,0.6658
119,4.96,60.93,1.5463,0.6674,1.5168,0.6629
120,5,61.44,1.558,0.6629,1.4713,0.6678
121,5.04,61.95,1.5509,0.6669,1.526,0.6618
122,5.09,62.46,1.5602,0.6628,1.521,0.6568
123,5.13,62.98,1.5588,0.6631,1.4885,0.6689
124,5.17,63.49,1.5565,0.6626,1.4777,0.6714
125,5.21,64,1.5612,0.6631,1.5128,0.6687
126,5.25,64.51,1.5522,0.6622,1.5237,0.6642
127,5.29,65.02,1.5561,0.6607,1.4,0.6843
128,5.34,65.54,1.5582,0.6616,1.486,0.6669
129,5.38,66.05,1.5424,0.6664,1.4696,0.6736
130,5.42,66.56,1.5428,0.6677,1.473,0.6705
131,5.46,67.07,1.5453,0.6653,1.5066,0.664
132,5.5,67.58,1.5583,0.6652,1.4666,0.6644
133,5.54,68.1,1.559,0.6628,1.4493,0.6752
134,5.59,68.61,1.5399,0.6668,1.4836,0.6698
135,5.63,69.12,1.5424,0.6692,1.467,0.668
136,5.67,69.63,1.5427,0.665,1.4199,0.6758
137,5.71,70.14,1.5436,0.6658,1.4439,0.6758
138,5.75,70.66,1.534,0.6674,1.4319,0.6725
139,5.79,71.17,1.5488,0.6643,1.4641,0.6701
140,5.84,71.68,1.5248,0.6741,1.4725,0.6694
141,5.88,72.7,1.5261,0.6665,1.4894,0.6646
142,5.92,73.22,1.5224,0.6723,1.4797,0.6717
143,5.96,73.73,1.5369,0.6678,1.4779,0.6673
144,6,74.24,1.5192,0.6709,1.4471,0.6768
145,6.04,74.75,1.5251,0.6716,1.4601,0.6749
146,6.09,75.26,1.5209,0.6743,1.4898,0.6692
147,6.13,75.78,1.5327,0.6724,1.454,0.6723
148,6.17,76.29,1.5242,0.6727,1.4561,0.6684
149,6.21,76.8,1.5368,0.6672,1.4603,0.6685
150,6.25,77.31,1.5328,0.6677,1.4809,0.6707
151,6.29,77.82,1.5286,0.6683,1.4123,0.6819
152,6.34,78.34,1.521,0.6711,1.4003,0.6824
153,6.38,78.85,1.5158,0.6708,1.4311,0.6761
154,6.42,79.36,1.5271,0.6686,1.4017,0.674
155,6.46,79.87,1.5172,0.6751,1.4362,0.6815
156,6.5,79.87,1.5172,0.6751,1.4414,0.672
157,6.54,80.38,1.5082,0.6748,1.4551,0.6702
158,6.59,80.9,1.5087,0.6754,1.3825,0.6861
159,6.63,81.41,1.5158,0.6723,1.4227,0.6791
160,6.67,81.92,1.5013,0.6813,1.3984,0.6897
161,6.71,82.43,1.4915,0.6772,1.4011,0.6828
162,6.75,82.94,1.4945,0.6775,1.3704,0.6876
163,6.79,83.46,1.5001,0.6729,1.3931,0.6823
164,6.84,83.97,1.4907,0.6781,1.3735,0.6846
165,6.88,84.48,1.4973,0.6758,1.4374,0.6771
166,6.92,84.99,1.4908,0.6782,1.4264,0.6746
167,6.96,85.5,1.4786,0.6814,1.3663,0.6911
168,7,86.02,1.4904,0.6816,1.3209,0.6972
169,7.04,86.53,1.4852,0.6784,1.3547,0.6925
170,7.09,87.04,1.4872,0.6769,1.3502,0.6938
171,7.13,87.55,1.487,0.678,1.3375,0.7005
172,7.17,88.06,1.4794,0.6793,1.3422,0.6947
173,7.21,88.58,1.4821,0.6797,1.304,0.6994
174,7.25,89.09,1.4866,0.6798,1.3527,0.6886
175,7.29,89.6,1.4848,0.6775,1.3834,0.6895
176,7.34,90.11,1.4678,0.683,1.3639,0.6889
177,7.38,90.62,1.4715,0.6805,1.3288,0.6978
178,7.42,91.14,1.4717,0.6818,1.3419,0.699
179,7.46,91.65,1.4727,0.6828,1.366,0.6912
180,7.5,92.16,1.4715,0.682,1.3639,0.6912
181,7.54,92.67,1.4685,0.6791,1.3597,0.6937
182,7.59,93.18,1.466,0.6834,1.3475,0.6923
183,7.63,93.7,1.4712,0.6785,1.3644,0.6903
184,7.67,94.21,1.4745,0.6816,1.3517,0.6907
185,7.71,94.72,1.4731,0.681,1.3215,0.6941
186,7.75,95.23,1.4722,0.6789,1.3283,0.6958
187,7.79,95.74,1.4672,0.6797,1.3347,0.6994
188,7.84,96.26,1.4621,0.6795,1.3538,0.6979
189,7.88,96.77,1.461,0.6843,1.3484,0.6897
190,7.92,97.28,1.4638,0.6803,1.3502,0.694
191,7.96,97.79,1.463,0.6822,1.3095,0.7044
192,8,98.3,1.4739,0.6818,1.3234,0.7036
193,8.04,98.82,1.4592,0.6829,1.302,0.7028
194,8.09,99.33,1.4523,0.6876,1.3204,0.695
195,8.13,99.84,1.4531,0.6851,1.2893,0.6987
196,8.17,100.35,1.4539,0.685,1.2973,0.7021
197,8.21,100.86,1.4555,0.6871,1.3112,0.6982
198,8.25,101.38,1.4606,0.6831,1.292,0.7031
199,8.29,101.89,1.4539,0.687,1.3051,0.7046
200,8.34,102.4,1.4555,0.6854,1.304,0.7032
201,8.38,102.91,1.4645,0.6843,1.2823,0.7027
202,8.42,103.42,1.4635,0.6831,1.3372,0.6933
203,8.46,103.94,1.4543,0.6861,1.3022,0.708
204,8.5,104.45,1.4524,0.6856,1.322,0.6996
205,8.54,104.96,1.4603,0.6846,1.317,0.6973
206,8.59,105.47,1.4634,0.6826,1.3296,0.6999
207,8.63,105.98,1.4651,0.6846,1.3368,0.6935
