iter k,epoch,valid_loss (se),valid_acc (se)
0.0 ,0.00 ,8.661 ,0.000 
0.5 ,0.02 ,3.737 ,0.381 
1.0 ,0.03 ,3.288 ,0.422 
1.5 ,0.05 ,3.070 ,0.451 
2.0 ,0.06 ,2.901 ,0.467 
2.5 ,0.08 ,2.814 ,0.476 
3.0 ,0.10 ,2.764 ,0.488 
3.5 ,0.11 ,2.679 ,0.496 
4.0 ,0.13 ,2.641 ,0.497 
4.5 ,0.15 ,2.580 ,0.502 
5.0 ,0.16 ,2.534 ,0.512 
5.5 ,0.18 ,2.524 ,0.511 
6.0 ,0.19 ,2.482 ,0.517 
6.5 ,0.21 ,2.425 ,0.527 
7.0 ,0.23 ,2.427 ,0.520 
7.5 ,0.24 ,2.408 ,0.523 
8.0 ,0.26 ,2.395 ,0.526 
8.5 ,0.27 ,2.366 ,0.536 
9.0 ,0.29 ,2.345 ,0.541 
9.5 ,0.31 ,2.391 ,0.533 
10.0 ,0.32 ,2.322 ,0.539 
10.5 ,0.34 ,2.309 ,0.536 
11.0 ,0.36 ,2.285 ,0.545 
11.5 ,0.37 ,2.267 ,0.546 
12.0 ,0.39 ,2.318 ,0.539 
12.5 ,0.40 ,2.263 ,0.547 
13.0 ,0.42 ,2.259 ,0.545 
13.5 ,0.44 ,2.222 ,0.553 
14.0 ,0.45 ,2.228 ,0.552 
14.5 ,0.47 ,2.243 ,0.550 
15.0 ,0.48 ,2.213 ,0.559 
15.5 ,0.50 ,2.260 ,0.550 
16.0 ,0.52 ,2.288 ,0.545 
16.5 ,0.53 ,2.185 ,0.559 
17.0 ,0.55 ,2.182 ,0.560 
17.5 ,0.57 ,2.2223,0.5525
18.0 ,0.58 ,2.2048,0.5552
18.5 ,0.60 ,2.2096,0.5577
19.0 ,0.61 ,2.1581,0.5648
19.5 ,0.63 ,2.1459,0.5651
20.0 ,0.65 ,2.1513,0.5635
20.5 ,0.66 ,2.147,0.5674
21.0 ,0.68 ,2.1502,0.5612
21.5 ,0.70 ,2.1105,0.566
22.0 ,0.71 ,2.1285,0.5728
22.5 ,0.73 ,2.125,0.5715
23.0 ,0.74 ,2.1878,0.5615
23.5 ,0.76 ,2.1446,0.5651
24.0 ,0.78 ,2.1227,0.568
24.5 ,0.79 ,2.1183,0.5656
25.0 ,0.81 ,2.1192,0.5635
25.5 ,0.82 ,2.1029,0.5692
26.0 ,0.84 ,2.1311,0.5662
26.5 ,0.86 ,2.1566,0.5631
27.0 ,0.87 ,2.0952,0.569
27.5 ,0.89 ,2.1282,0.5653
28.0 ,0.91 ,2.1787,0.5533
28.5 ,0.92 ,2.0886,0.5697
29.0 ,0.94 ,2.1396,0.5676
29.5 ,0.95 ,2.1559,0.5619
30.0 ,0.97 ,2.1009,0.5717
30.5 ,0.99 ,2.0888,0.5734
31.0 ,1.00 ,2.143,0.5594
31.5 ,1.02 ,2.0635,0.5773
32.0 ,1.03 ,2.0891,0.5739
32.5 ,1.05 ,2.081,0.5737
33.0 ,1.07 ,2.0917,0.5721
33.5 ,1.08 ,2.1153,0.5635
34.0 ,1.10 ,2.097,0.5701
34.5 ,1.12 ,2.0547,0.5704
35.0 ,1.13 ,2.0924,0.572
35.5 ,1.15 ,2.1973,0.5557
36.0 ,1.16 ,2.0484,0.5734
36.5 ,1.18 ,2.0741,0.5706
37.0 ,1.20 ,2.104,0.5681
37.5,1.21 ,2.0973,0.5615
38,1.23 ,2.0575,0.5758
38.5,1.24 ,2.0919,0.5734
39,1.26 ,2.0923,0.5734
39.5,1.28 ,2.0546,0.5738
40,1.29 ,2.0564,0.5819
40.5,1.31 ,2.107,0.5717
41,1.33 ,2.0919,0.5698
41.5,1.34 ,2.1053,0.567
42,1.36 ,2.0656,0.5769
42.5,1.37 ,2.0928,0.5699
43,1.39 ,2.0406,0.5789
43.5,1.41 ,2.1309,0.5693
44,1.42 ,2.0438,0.5788
44.5,1.44 ,2.0679,0.5701
45,1.45 ,2.0467,0.5827
45.5,1.47 ,2.0624,0.5738
46,1.49 ,2.0286,0.5795
46.5,1.50 ,2.0782,0.5704
47,1.52 ,2.019,0.5824
47.5,1.54 ,2.017,0.5828
48,1.55 ,2.0876,0.5673
48.5,1.57 ,2.0422,0.5775
49,1.58 ,2.0912,0.5687
49.5,1.60 ,2.0699,0.5753
50,1.62 ,1.9986,0.5866
50.5,1.63 ,2.0833,0.5697
51,1.65 ,2.0856,0.568
51.5,1.66 ,2.1183,0.5651
52,1.68 ,2.0316,0.5767
52.5,1.70 ,2.131,0.5645
53,1.71 ,2.028,0.58
53.5,1.73 ,2.0214,0.5835
54,1.75 ,2.0835,0.5706
54.5,1.76 ,2.0395,0.5773
55,1.78 ,2.0576,0.5743
55.5,1.79 ,2.068,0.5747
56,1.81 ,2.0453,0.5826
56.5,1.83 ,2.0262,0.5843
57,1.84 ,2.1074,0.5671
57.5,1.86 ,2.0841,0.5731
58,1.88 ,2.0603,0.5704
58.5,1.89 ,2.0606,0.5766
59,1.91 ,2.1432,0.5594
59.5,1.92 ,2.0222,0.5854
60,1.94 ,2.0715,0.5735
60.5,1.96 ,2.0259,0.5817
61,1.97 ,2.0447,0.5843
61.5,1.99 ,2.0292,0.5789
62,2.00 ,2.0115,0.5839
63,2.03 ,1.8488,0.615
64,2.06 ,1.8174,0.6214
65,2.10 ,1.8055,0.6215
66,2.13 ,1.7937,0.6248
67,2.16 ,1.7854,0.6281
68,2.19 ,1.7773,0.6291
69,2.23 ,1.7728,0.6307
70,2.26 ,1.7656,0.632
71,2.29 ,1.7559,0.6327
72,2.32 ,1.757,0.6305
73,2.36 ,1.7497,0.6328
74,2.39 ,1.7523,0.6308
75,2.42 ,1.744,0.6336
76,2.45 ,1.7396,0.6343
77,2.48 ,1.7409,0.6365
78,2.52 ,1.7329,0.6335
79,2.55 ,1.7331,0.6341
80,2.58 ,1.7338,0.6344
81,2.61 ,1.7283,0.6353
82,2.65 ,1.7258,0.6385
83,2.68 ,1.728,0.6362
84,2.71 ,1.7241,0.6387
85,2.74 ,1.7209,0.6373
86,2.78 ,1.7143,0.6351
87,2.81 ,1.714,0.6378
88,2.84 ,1.7122,0.6392
89,2.87 ,1.7105,0.6392
90,2.91 ,1.7065,0.6385
91,2.94 ,1.7072,0.6385
92,2.97 ,1.7116,0.6404
93,3.00 ,1.7008,0.6364
94,3.03 ,1.7042,0.6402
95,3.07 ,1.701,0.6387
96,3.10 ,1.7018,0.6411
97,3.13 ,1.6868,0.6439
98,3.16 ,1.6833,0.6434
99,3.20 ,1.6809,0.6423
100,3.23 ,1.6809,0.6422
101,3.26 ,1.6779,0.6418
102,3.29 ,1.6779,0.6435
103,3.33 ,1.6768,0.6427
104,3.36 ,1.6749,0.6426
105,3.39 ,1.6736,0.6444
106,3.42 ,1.6748,0.6418
107,3.46 ,1.672,0.6423
108,3.49 ,1.6726,0.6434
109,3.52 ,1.6716,0.6429
110,3.55 ,1.6723,0.6436
111,3.58 ,1.6707,0.6435
112,3.62 ,1.6716,0.6442
